question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
1191,A,B,True,True,1.0,1.0,1.0
234,B,A,True,True,1.0,1.0,1.0
917,A,B,True,True,1.0,1.0,1.0
642,D,A,True,True,1.0,1.0,1.0
1361,B,A,True,True,1.0,1.0,1.0
692,B,A,True,True,1.0,1.0,1.0
1245,D,A,True,True,1.0,1.0,1.0
1430,C,A,True,True,1.0,1.0,1.0
293,A,B,True,True,1.0,1.0,1.0
112,A,B,True,True,1.0,1.0,1.0
390,C,A,True,True,1.0,1.0,1.0
885,B,A,True,True,1.0,1.0,1.0
117,A,B,True,True,1.0,1.0,1.0
92,C,A,True,True,1.0,1.0,1.0
1303,A,B,False,True,1.0,1.0,0.9285714285714286
1017,D,A,True,True,0.875,1.0,0.9285714285714286
1473,B,A,True,True,1.0,0.5,0.8571428571428571
99,D,A,True,True,0.625,0.5,0.6428571428571429
1106,B,A,True,True,0.375,1.0,0.6428571428571429
385,C,A,True,False,0.875,0.0,0.5714285714285714
978,D,A,False,False,0.125,1.0,0.35714285714285715
251,B,A,False,False,0.375,0.0,0.21428571428571427
264,B,A,False,False,1.0,0.0,0.14285714285714285
1216,D,A,False,False,0.0,0.5,0.14285714285714285
0,B,A,True,False,0.0,0.0,0.07142857142857142
772,A,B,False,False,0.125,0.0,0.07142857142857142
1030,C,A,False,False,0.0,0.0,0.0
994,D,A,False,False,0.0,0.0,0.0
1031,D,A,False,False,0.0,0.0,0.0
993,D,A,False,False,0.0,0.0,0.0
1035,D,A,False,False,0.0,0.0,0.0
1036,D,A,False,False,0.0,0.0,0.0
1037,A,B,False,False,0.0,0.0,0.0
992,C,A,False,False,0.0,0.0,0.0
987,B,A,False,False,0.0,0.0,0.0
985,C,A,False,False,0.0,0.0,0.0
1038,D,A,False,False,0.0,0.0,0.0
984,D,A,False,False,0.0,0.0,0.0
980,C,A,False,False,0.0,0.0,0.0
1042,B,A,False,False,0.0,0.0,0.0
974,C,A,False,False,0.0,0.0,0.0
989,D,A,False,False,0.0,0.0,0.0
1011,A,B,False,False,0.0,0.0,0.0
1009,C,A,False,False,0.0,0.0,0.0
1013,C,A,False,False,0.0,0.0,0.0
1014,D,A,False,False,0.0,0.0,0.0
1015,C,A,False,False,0.0,0.0,0.0
1044,D,A,False,False,0.0,0.0,0.0
1004,B,A,False,False,0.0,0.0,0.0
1019,C,A,False,False,0.0,0.0,0.0
1028,D,A,False,False,0.0,0.0,0.0
1023,B,A,False,False,0.0,0.0,0.0
1003,D,A,False,False,0.0,0.0,0.0
1024,A,B,False,False,0.0,0.0,0.0
1002,C,A,False,False,0.0,0.0,0.0
996,B,A,False,False,0.0,0.0,0.0
1025,B,A,False,False,0.0,0.0,0.0
1026,A,B,False,False,0.0,0.0,0.0
1027,D,A,False,False,0.0,0.0,0.0
1020,C,A,False,False,0.0,0.0,0.0
1102,C,A,False,False,0.0,0.0,0.0
1103,D,A,False,False,0.0,0.0,0.0
1108,D,A,False,False,0.0,0.0,0.0
